working_index0,csv_row_index0,x,y,rx_time,selected_receivers,official_error_m,rssfit_stable_error_m,rssfit_prior_default_error_m,official_x,official_y,rssfit_x,rssfit_y
2329,5350,596963.2816651175,5673434.182913552,2019-02-01T07:50:00.366281044+01:00,27;18;25,585.4512253800461,3855.8594094854084,3855.65197444114,597548.1571910962,5673408.226095371,599882.7270818424,5675953.010070084
48572,114650,599116.3324491244,5672361.364737223,2019-01-21T18:45:04.663+01:00,10;2;69;1,224.69576975476429,546.4985263141277,546.9526578324732,599303.0807544425,5672486.317766024,599635.5738363643,5672531.8024708405
46884,110696,599615.7234067095,5675596.127621936,2019-01-04T12:29:33.27804269+01:00,14;9;4,676.7534380556316,3334.3427108212695,3334.4593107521064,598946.4300764994,5675495.919568086,602941.9051601936,5675829.271903437
24674,58091,599140.3527557652,5672406.809737398,2019-01-08T18:04:53.430+01:00,10;2;69,117.7958369749517,522.4983060279887,522.0134236756195,599225.5943884061,5672488.109942031,599132.9900065495,5672929.256165012
25393,59821,599112.2595259795,5672361.710498555,2019-01-22T16:57:59.476+01:00,10;2;69;1,198.7557015353236,728.1295585218455,727.9987609630473,599274.037867207,5672477.173034481,599411.2611222259,5673025.616139015
16651,38962,598354.4989672456,5675119.012543485,2019-01-29T17:47:46.965831126+01:00,14;9;11;20,759.3141366838878,4391.104536770843,4391.176265408804,599011.712003184,5675499.313718293,602742.0839031473,5675294.789342574
24492,57680,599133.6238129925,5672410.074688356,2019-01-08T20:20:46.231+01:00,10;2;69,180.627964527726,480.5612310388441,481.110609960697,599295.9817429992,5672489.235058071,599608.8658925312,5672481.377301305
35160,82863,599109.3527166541,5672362.078763345,2019-01-20T08:41:28.929+01:00,10;2;69;1,201.83425451664448,406.9693708298003,407.030964392135,599268.2661769618,5672486.511791233,599360.8374044399,5672682.046762687
14014,32699,599004.4848474254,5673602.138282557,2019-01-02T09:44:50.874075184+01:00,69;14;2;1,299.73855371982216,3998.9373278217467,3999.369113904899,599052.0256872585,5673306.193914248,602407.9209224023,5675701.691243402
36651,86370,599113.2438341075,5672365.973022362,2019-01-18T10:32:50.614250003+01:00,10;2;69,179.97427754357713,471.2425352607415,471.05728405985445,599244.6644226284,5672488.933867716,599279.8530864281,5672806.780104973
6663,15475,593667.248507925,5674307.820741838,2019-02-04T16:05:03.758522839+01:00,15;19;25,799.836863106738,2076.292657277906,2076.7319903208436,594223.6858710728,5673733.263113329,595291.7957183231,5673014.8251657225
41291,97564,598515.0297974797,5674836.07749634,2019-01-07T16:55:57.257669366+01:00,14;32;9;19;27,299.391937648454,3273.7517000266594,3273.8726965472456,598360.241371388,5675092.350935223,601779.2527191745,5675085.674994144
25606,60325,599130.0670583042,5672409.581690301,2019-01-09T07:04:03.305710330+01:00,10;2;69,125.03936412965555,506.7931266508435,506.3131321916568,599227.8268086258,5672487.542409891,599127.2427107885,5672916.366946876
25179,59318,599131.8673268597,5672413.0112602,2019-01-07T20:10:54.811+01:00,10;69;2;1,98.34337115334478,759.687199704607,758.9258251179353,599199.8383379696,5672484.0841826005,598850.5629252405,5673118.69707912
23102,54327,598571.824718668,5676246.02294216,2018-12-31T10:22:48.977589014+01:00,14;32;20;11;34;27,869.2293902514646,3936.532948453135,3936.0384400095177,598320.8278495782,5675413.8208605815,602298.5483687931,5674978.023537643
25153,59252,598321.2549426686,5672354.14671768,2019-01-30T11:11:42.59628741+01:00,69;18;2,408.8268155505856,5481.127145256463,5481.086523898633,598295.7842623196,5672762.179326126,601165.4819466705,5677039.563191396
40954,96769,599220.4768060885,5675043.172833008,2019-01-03T13:53:25.480711803+01:00,9;14;11;12,429.05580756778414,4330.047809619224,4330.260547837413,599371.4872723748,5675444.775528566,603151.062789005,5676859.710161137
36041,84943,599115.2820832788,5672358.798350429,2019-01-17T18:45:33.768+01:00,10;2;1;69,194.0681568475627,527.4352788019654,527.2704752916354,599265.2359892932,5672481.99037766,599313.6932595134,5672847.491483663
55118,129861,599085.6435165674,5674647.190955127,2019-01-15T11:06:12.015+01:00,14;9;18;27,737.2427901808711,2272.2414573245337,2272.283825925278,598380.0385498351,5674433.535712747,601278.0640042989,5675244.161344141
53403,125787,598959.4884841656,5674994.000794346,2019-02-05T11:28:43.807370283+01:00,14;27;12,305.66235338247157,3772.3199697649857,3772.1819364787016,598691.3186244192,5675140.678674747,602726.6579329064,5674796.941669306
16079,37553,598843.4021894168,5675562.520401391,2019-01-24T10:25:03.163218594+01:00,14;9;11,321.7870177821971,4093.659692264012,4093.6781899025723,598966.6801719173,5675265.284091624,602936.8493396154,5675604.234962372
13279,31019,599643.5570086587,5677023.357142929,2019-01-02T09:05:19.790318963+01:00,11;9;5;4;7,258.4858989229642,4003.122079575083,4003.122079575083,599869.0615143246,5677149.700634516,603414.4291636883,5678367.049657756
35281,83146,599132.8078259734,5672410.907646011,2019-01-07T14:17:34.550+01:00,10;2;69,110.19191076633277,618.1046674574183,617.4431419413638,599213.5334772768,5672485.9118220275,598982.1670851752,5673010.3746986035
52985,124803,599133.4010555684,5672416.435686533,2019-01-06T13:49:23.697+01:00,10;2;11;69,104.97221470433135,755.6937371438696,754.9206037331954,599203.6738915984,5672494.4157761475,598841.2576998587,5673113.375629479
49977,117914,599087.4642275142,5674716.82026549,2019-01-15T11:31:23.635758590+01:00,14;9;18;27,474.36493817190745,3091.1453667159135,3091.32656490104,598631.9962983953,5674849.3761409195,602132.5771857699,5675248.296275891
