experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_16_2,MinMax_minus_FP_on_survivors,spatial_1000m,6000,807,33,223,2268,275.7671599051783,1.7864472392543809,185.2285698290635,380.66560032330625,1.4235386858727632,2.017594175676044
removal_16_3,FP_removal_on_survivors,paired_messages,6000,1058,1058,1058,1058,93.81837203907901,1.3038394953760553,65.34959014223423,125.86832947499283,1.2024138919919718,1.4290488968420743
removal_16_3,MinMax_removal_on_survivors,paired_messages,6000,1058,1058,1058,1058,74.48599933866592,1.1155780878175534,31.304487197046015,121.01420062505963,1.048605112138403,1.1874513720018218
removal_16_3,MinMax_minus_FP_on_survivors,paired_messages,6000,1058,1058,1058,1058,316.3562493447864,1.7857938383244765,260.2019450990766,371.8907992720353,1.62200228746798,1.9458683658498133
removal_16_3,FP_removal_on_survivors,spatial_1000m,6000,1058,35,347,2459,93.81837203907901,1.3038394953760553,45.997285881297394,132.0390733283504,1.134839415092212,1.438844315144897
removal_16_3,MinMax_removal_on_survivors,spatial_1000m,6000,1058,35,347,2459,74.48599933866592,1.1155780878175534,-47.07150952276845,311.4351637375881,0.9164070473455969,1.433060918698595
removal_16_3,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1058,35,347,2459,316.3562493447864,1.7857938383244765,89.0858011900886,638.2845095906387,1.2070165202545442,2.606291076422694
removal_16_4,FP_removal_on_survivors,paired_messages,6000,1276,1276,1276,1276,16.477820383323092,1.2778927005289145,-0.01742798602107138,37.69784230982924,0.9996162558651828,1.61642092158727
removal_16_4,MinMax_removal_on_survivors,paired_messages,6000,1276,1276,1276,1276,-65.00383684806462,0.8014610383718257,-120.4289260639848,-6.192395122947853,0.6299777275903271,0.9832417031744828
removal_16_4,MinMax_minus_FP_on_survivors,paired_messages,6000,1276,1276,1276,1276,186.633705583475,3.4630490708586668,129.16440596233952,259.1785391393274,2.6627257875142476,4.345791020556782
removal_16_4,FP_removal_on_survivors,spatial_1000m,6000,1276,35,266,4441,16.477820383323092,1.2778927005289145,-0.8813024855936398,171.9534595635812,0.9705341042381758,1.5106762024777078
removal_16_4,MinMax_removal_on_survivors,spatial_1000m,6000,1276,35,266,4441,-65.00383684806462,0.8014610383718257,-92.03594268183235,328.6647604957166,0.6825325583901901,1.466496905682676
removal_16_4,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1276,35,266,4441,186.633705583475,3.4630490708586668,101.30894534160568,602.9063986260832,1.6948625258119294,6.665712009320843
removal_16_5,FP_removal_on_survivors,paired_messages,6000,795,795,795,795,97.84987765779846,1.3053200836134262,63.71674074788905,143.4321940933428,1.1947588243776528,1.4832496187278175
removal_16_5,MinMax_removal_on_survivors,paired_messages,6000,795,795,795,795,319.70775665839994,1.446769572419772,268.6334790612653,381.8430323375746,1.3620586331331612,1.543710195621873
removal_16_5,MinMax_minus_FP_on_survivors,paired_messages,6000,795,795,795,795,616.9737106053699,2.474839377636603,556.2371524749008,692.6279873090841,2.247937828121683,2.74529852534151
removal_16_5,FP_removal_on_survivors,spatial_1000m,6000,795,35,250,1873,97.84987765779846,1.3053200836134262,50.50219395080561,189.91358912641314,1.1538960625321575,1.55611600138884
removal_16_5,MinMax_removal_on_survivors,spatial_1000m,6000,795,35,250,1873,319.70775665839994,1.446769572419772,0.0,545.8801963238051,1.0,1.7167250269526613
removal_16_5,MinMax_minus_FP_on_survivors,spatial_1000m,6000,795,35,250,1873,616.9737106053699,2.474839377636603,138.77011434285944,939.1874820448919,1.27519834836596,3.4959684701720706
removal_16_6,FP_removal_on_survivors,paired_messages,6000,845,845,845,845,170.2859951201366,1.5250750501414256,132.96895885069011,208.2869066588063,1.3936752428262908,1.684470001022505
removal_16_6,MinMax_removal_on_survivors,paired_messages,6000,845,845,845,845,35.50055224131006,1.0546404741887243,4.583920828883606,76.71905941032297,1.0068708746664647,1.1180260112586364
