experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
no71,assignment:NLLS,rssfit_stable:NLLS,official:NLLS,spatial_500m,2493,6000,107,974,5799,1201.8578931852549,518.6011836162054,683.2567095690495,2.3174993254058953,601.2435070522585,927.568510504218,1.9644639522636078,4.188448098219899,0.8038507821901324,0,0
no71,assignment:Trilat,rssfit_stable:Trilat,official:Trilat,spatial_500m,2493,6000,107,974,5799,1708.859917853748,584.2565901583599,1124.603327695388,2.9248449168379422,937.781405307869,1907.980145699506,2.530945917267358,4.982831636488107,0.7785800240673887,0,0
no71,assignment:MinMax,rssfit_stable:MinMax,official:MinMax,spatial_500m,2493,6000,107,974,5799,2111.3614804502936,465.808146845612,1645.5533336046815,4.532684743167632,730.4910647055998,2727.0977957480454,3.6245504873612076,5.721680521002335,0.9221821099077416,0,0
no71,official_vs_raw:WCL_bc,official:WCL_bc,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,582.1997800181365,479.4601660745637,102.7396139435728,1.2142818553305952,-62.90745371200398,224.45547590413008,0.7086609589582705,1.3749478749124893,0.4817488969113518,0,612
no71,official_vs_raw:ABS_mean,official:ABS_mean,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,527.690987738094,479.4601660745637,48.23082166353032,1.1005940119247146,-102.16733485484285,194.26563024739988,0.8410076339909957,1.4460240672874929,0.4717208182912154,0,1427
no71,official_vs_raw:DIFF_median,official:DIFF_median,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,1003.4028574107342,479.4601660745637,523.9426913361706,2.0927762688312446,80.13457311705184,1000.9033960316178,1.3936489672448922,2.725185009023131,0.6401925391095066,0,5
no71,official_vs_raw:HYBRID_mean,official:HYBRID_mean,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,575.0609749615489,479.4601660745637,95.60080888698525,1.1993925995347814,-45.16785582047647,257.287349523843,0.9224003198669672,1.571152689771767,0.49217809867629364,0,512
no71,official_vs_raw:NLLS,official:NLLS,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,518.6011836162054,479.4601660745637,39.1410175416417,1.0816355983482362,-110.91669396673305,178.28858503757317,0.8283588707248604,1.430056432214211,0.48896911351785,0,1698
no71,official_vs_raw:Trilat,official:Trilat,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,584.2565901583599,479.4601660745637,104.79642408379624,1.218571701048255,0.011903743271786383,281.734953567255,1.0000196319473036,1.529093737363183,0.5972723626153229,0,150
no71,official_vs_raw:MinMax,official:MinMax,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,465.808146845612,479.4601660745637,-13.652019228951701,0.9715262701785562,-123.04403507846087,47.0420024521445,0.8200394737163722,1.1318352612580416,0.37625350982751704,0,4116
